Mae,Turma,Código,Nome da Disciplina,CH,TEO,Professor,DiaSemana,Turno,Tipo
CC3,CC2P12 / CC3P12 / CC3Q12,E542,Estudos Disciplinares,,,*,Sex,Pré,EAD
CC3,CC2P12 / CC3P12 / CC3Q12,75D4,Atividades Praticas Supervisio,,,*,Sex,Pré,EAD
SI3,SI2P12 /  SI3P12 ,E523,Estudos Disciplinares,,,*,Sex,Pré,EAD
SI3,SI2P12 /  SI3P12 ,77D4,Atividades Praticas Supervisio,,,*,Sex,Pré,EAD
# >>>>>>>>>> CC5P12 / SI5P12 (NOITE) <<<<<<<<<<,,,,,,,,,
SI5,SI5P12 / SI4P12,78B4,Organizacao de Computadores,30,30,Marcelo,Seg,1º,T
SI5,SI5P12 / SI4P12,56A6,Seguranca da Informacao,30,30,Marcelo,Seg,2º,T
CC5,CC5P12 / CC5Q12 / CC4P12,J972,Computacao Grafica,30,30,Vinícius,Ter,1º,T
CC5,CC5P12 / CC5Q12 / CC4P12,J02B,Linguagens Formais E Automatos,30,30,Vinícius,Ter,2º,T
CC5,CC5P12 / CC5Q12 / CC4P12,J903,Inteligencia Artificial,60,60,Vinícius,Qua,1º,T
CC5,CC5P12 / CC5Q12 / CC4P12,J903,Inteligencia Artificial,60,60,Vinícius,Qua,2º,T
CC5 / SI5,CC5P12 / CC5Q12 / CC4P12 / SI5P12 / SI4P12,J17B,Sistemas Operacionais,60,30,Wellington,Qui,1º,T
CC5 / SI5,CC5P12 / CC5Q12 / CC4P12 / SI5P12 / SI4P12,J17B,Sistemas Operacionais,60,30,Wellington,Qui,2º,P
CC5 / SI5,CC5P12 / CC5Q12 / CC4P12 / SI5P12 / SI4P12,J17B,Sistemas Operacionais,60,30,Luciano,Qui,2º,P
CC5 / SI5,CC5P12 / CC5Q12 / CC4P12 / SI5P12 / SI4P12,J08B,Arquit de Redes de Computador,30,30,Rafael,Sex,1º,T
CC5,CC5P12 / CC5Q12 / CC4P12,J06B,Arquitetura de Comput Modernos,30,30,Rafael,Sex,2º,T
CC5,CC5P12 / CC5Q12 / CC4P12,D56B,Analise Matematica,,,*,Seg,Pré,EAD
CC5 / SI5,CC5P12 / CC5Q12 / CC4P12 / SI5P12 / SI4P12,D194,Metod do Trabalho Academico,,,*,Ter,Pré,EAD
CC5 / SI5,CC5P12 / CC5Q12 / CC4P12 / SI5P12 / SI4P12,D66B,Teoria Dos Grafos,,,*,Qua,Pré,EAD
SI5,SI5P12 / SI4P12,D59B,Arquitetura Empresarial,,,*,Qui,Pré,EAD
SI5,SI5P12 / SI4P12,D69B,"Noc Contab Geral,custos E Ger",,,*,Sex,Pré,EAD
CC5,CC5P12 / CC5Q12 / CC4P12,19D5,Estudos Disciplinares,,,*,Sex,Pré,EAD
CC5,CC5P12 / CC5Q12 / CC4P12,77B2,Atividades Praticas Supervisio,,,*,Sex,Pré,EAD
SI5,SI5P12 / SI4P12,18D7,Estudos Disciplinares,,,*,Sex,Pré,EAD
SI5,SI5P12 / SI4P12,78B9,Atividades Praticas Supervisio,,,*,Sex,Pré,EAD
# >>>>>>>>>> CC7P12 / SI7P12 (NOITE) <<<<<<<<<<,,,,,,,,,
CC7,CC7P12 / CC7Q12 / CC6P12 / SI7P12 /  SI6P12,J964,Engenharia de Software,60,60,José Carlos,Seg,1º,T
CC7 / SI7,CC7P12 / CC7Q12 / CC6P12 / SI7P12 /  SI6P12,J964,Engenharia de Software,60,60,José Carlos,Seg,2º,T
CC7,CC7P12 / CC7Q12 / CC6P12 ,76B5,Sistemas Distribuidos,60,60,Marcelo,Qua,1º,T
CC7,CC7P12 / CC7Q12 / CC6P12 ,76B5,Sistemas Distribuidos,60,60,Marcelo,Qua,2º,T
SI7,SI7P12 / SI6P12,56A1,Governanca da ti,30,30,Célia,Qua,1º,T
SI7,SI7P12 / SI6P12,16C3,Sist de Inform Integrada,30,30,Célia,Qua,Pré,T
SI7,SI7P12 / SI6P12,78B5,Usabilidade Aplicada A si,30,30,Célia,Qua,2º,T
CC7 / SI7,CC7P12 / CC7Q12 / CC6P12 / SI7P12 /  SI6P12,J732,Trabalho de Curso I,30,30,Elisa,Qui,1º,T
CC7,CC7P12 / CC7Q12 / CC6P12 ,76B4,Fund Realidade Virtual/aument,30,30,Vinícius,Sex,1º,T
CC7 / SI7,CC7P12 / CC7Q12 / CC6P12 / SI7P12 /  SI6P12,76B3,Analise de Algoritmos,30,30,Vinícius,Sex,2º,T
CC7 / SI7,CC7P12 / CC7Q12 / CC6P12 / SI7P12 /  SI6P12,D541,Administracao,,,*,Seg,Pré,EAD
CC7 ,CC7P12 / CC7Q12 / CC6P12 ,D36B,Ciencia da Computacao Integrad,,,*,Ter,Pré,EAD
CC7 / SI7,CC7P12 / CC7Q12 / CC6P12 / SI7P12 /  SI6P12,D46B,Legislacao Computacional/etica,,,*,Qua,Pré,EAD
CC7,CC7P12 / CC7Q12 / CC6P12 ,75B7,Estudos Disciplinares,,,*,Qui,Pré,EAD
CC7,CC7P12 / CC7Q12 / CC6P12 ,77B4,Atividades Praticas Supervisio,,,*,Sex,Pré,EAD
SI7,SI7P12 / SI6P12,56A2,Estudos Disciplinares,,,*,Sex,Pré,EAD
SI7,SI7P12 / SI6P12,79B2,Atividades Praticas Supervisio,,,*,Sex,Pré,EAD
# >>>>>>>>>> CC8P12 (NOITE) <<<<<<<<<<,,,,,,,,,
CC8,CC8P12,75B4,Fisica Para Computacao,,,*,Seg,Pré,EAD
CC8,CC8P12,J94A,Interface Humano Computador,,,*,Ter,Pré,EAD
CC8,CC8P12,J672,Nocoes de Direito,,,*,Qua,Pré,EAD
CC8,CC8P12,J95A,Progr Para Dispositivos Moveis,60,0,Medina,Terça,1º,P
CC8,CC8P12,J95A,Progr Para Dispositivos Moveis,60,0,Medina,Terça,2º,P
CC8,CC8P12,J09B,Programacao Web Responsiva,60,0,Sandro,Seg,1º,P
CC8,CC8P12,J09B,Programacao Web Responsiva,60,0,Sandro,Seg,2º,P
CC8,CC8P12,D277,Interpretação E Prod Textos,,,*,Seg,Pré,EAD
CC8,CC8P12,D86B,Topicos de Ambiente Web,,,*,Ter,Pré,EAD
CC8,CC8P12,D96B,Topicos de Matematica Aplicada,,,*,Qua,Pré,EAD
CC8,CC8P12,79B4,Estudos Disciplinares,,,*,Qui,Pré,EAD
CC8,CC8P12,77B7,Atividades Complementares,,,*,Sex,Pré,EAD
CC8,CC8P12,76B7,Atividades Praticas Supervisio,,,*,Sex,Pré,EAD
CC8,CC8P12,77B6,Estagio,,,*,Sex,Pré,EAD
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
