Mae,Turma,Código,Nome da Disciplina,CH,TEO,Professor,DiaSemana,Turno,Tipo
DS1A,DS1A12,21,Tecnologia da Informação e da Comunicação,60,,Célia,Ter,1º,T
DS1A,DS1A12,21,Tecnologia da Informação e da Comunicação,60,,Célia,Ter,2º,T
DS1A,DS1A12,21,"Ética, Cidadania e Sustentabilidade",60,,Cláudio,Qui,1º,T
DS1A,DS1A12,21,"Ética, Cidadania e Sustentabilidade",60,,Cláudio,Qui,2º,T
DS1A,DS1A12,23,Pensamento Lógico Computacional com Python,60,,Caio,Seg,1º,P
DS1A,DS1A12,23,Pensamento Lógico Computacional com Python,60,,Caio,Seg,2º,P
DS1A,DS1A12,24,Infraestrutura Computacional,60,,Elisa,Qua,1º,T
DS1A,DS1A12,24,Infraestrutura Computacional,60,,Elisa,Qua,2º,T
DS1A,DS1A12,25,Estatística,60,,Maria Margarida,Sex,1º,T
DS1A,DS1A12,25,Estatística,60,,Maria Margarida,Sex,2º,T
DS1A,DS1A12,26,Educação Ambiental,,,*,Pré,,EAD
DS1A,DS1A12,27,PIM I,,,*,Pré,,EAD
DS1A,DS1A12,28,Atividades de Extensão 1,,,*,Pré,,EAD
# >>>>>>>>>>DS3A (MANHÃ) <<<<<<<<<<,,,,,,,,,
DS3A,DS3A12,58D1,Desenvolvimento Web Responsivo,60,30,Elisa,Sex,1º,T
DS3A,DS3A12,58D1,Desenvolvimento Web Responsivo,60,30,Elisa,Sex,2º,P
DS3A,DS3A12,57D7,Eng Software Agil Aplicada,60,30,Patrícia,Ter,1º,T
DS3A,DS3A12,57D7,Eng Software Agil Aplicada,60,30,Patrícia,Ter,2º,P
DS3A,DS3A12,57D8,Model Banco de Dados E Nosql,60,30,Perini,Qua,1º,T
DS3A,DS3A12,57D8,Model Banco de Dados E Nosql,60,30,Perini,Qua,2º,P
DS3A,DS3A12,57D9,Prog Orient A Objetos Com c sharp,60,30,Kelly,Seg,1º,T
DS3A,DS3A12,57D9,Prog Orient A Objetos Com c sharp,60,30,Kelly,Seg,2º,P
DS3A,DS3A12,58D2,Ux E ui Design,60,30,José Carlos,Qui,1º,T
DS3A,DS3A12,58D2,Ux E ui Design,60,30,José Carlos,Qui,2º,P
DS3A,DS3A12,E521,Estudos Disciplinares,,,*,Pré,,EAD
DS3A,DS3A12,45B5,Proj Inte Multidisciplinar Iii,,,*,Pré,,EAD
DS3A,DS3A12,D17G,"Comunic, Lider E Negociacao ",,,*,Pré,,EAD
DS3A,DS3A12,D54G,Lingua Brasil Sinais - Libras,,,*,Pré,,EAD
DS3A,DS3A12,D07G,Machine Learning E Analise Dad,,,*,Pré,,EAD
